id,Codigo Especie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
11879,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11880,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11881,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11882,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11883,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11884,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11885,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11886,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11887,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11888,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11889,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11890,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11891,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11892,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11893,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11894,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11895,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11896,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11897,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11898,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11899,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11900,UTPL_A0575,93,Phoebastria irrorata,Waved Albatross,null,5,null,null
11901,UTPL_A0292,56,Forpus coelestis,Pacific Parrotlet,null,1,BT,null
11902,UTPL_A0296,61,Furnarius leucopus,Pale-legged Hornero,null,1,null,null
11903,UTPL_A0312,37,Geranoaetus polyosoma,Variable Hawk,null,1,null,null
11904,UTPL_A0835,54,Veniliornis callonotus,Scarlet-backed Woodpecker,null,1,BT,null
11905,UTPL_A0252,78,Dives warszewiczi,Scrub Blackbird,null,1,null,null
11906,UTPL_A0484,48,Myrmia micrura,Short-tailed Woodstar,null,1,BT,null
11907,UTPL_A0119,62,Camptostoma obsoletum,Southern Beardless-Tyrannulet,null,1,null,null
11908,UTPL_A0453,62,Myiarchus phaeocephalus,Sooty-crowned Flycatcher,null,1,BT - RM,null
